star_name,served_arpt,fixes
BRIXX.REBAS1,APC DVO HES O69 STS,BRIXX REBAS MMOSA
BRKSR.AANDY2,OFF OMA,BRKSR AANDY
BRNKO.BRNKO4,APA BJC FNL GXY LMO,BRNKO PICKK BLTZZ
BRODE.GRUUB1,EDF,BRODE GRUUB RNICH SSNOW
BROOK.BROOK4,GSO INT,BROOK TRAKS WALLK GSO
BRRTO.BRRTO1,ABQ,BRRTO ELRRA XMRKS
BRWNZ.BRWNZ4,1G3 AKR BKL CAK CGF CLE LNN LPR,BRWNZ
BSR.BSR3,SFO,BSR CARME ANJEE SKUNK BOLDR MENLO
BTSEY.BTSEY2,CLT,BTSEY CLT
BUBBI.ANTHM5,BWI MTN,BUBBI SHEPH EAGLL ANTHM
BUGZZ.CBUSS2,CMH LCK OSU TZR,BUGZZ
BULII.CAPSS3,DCA,BULII CAPSS
BUNTR.BUNTR3,PHX,BUNTR
BUUDD.BUUDD3,BLV CPS SUS,BUUDD WEIZZ
BUZZY.BUZZY1,RDU,BUZZY RDU
BVL.BVL2,SLC,BVL WAATS
CAINE.CAINE2,DFW,CAINE SASIE TADDI ORICK CARBS
CAINE.DAWGZ2,DFW,CAINE SASIE TADDI DAWGZ
CAMET.CAMET3,OKC,CAMET DAWKS
CAMET.DAWKS1,OUN PWA TIK,CAMET DAWKS
CAMPS.CAMPS4,OGG,CAMPS
CAPKO.RAVNN8,BWI MTN,CAPKO RAVNN
CARTR.CARTR1,SLC,CARTR
CAWIN.LIBER5,FAI,CAWIN LIBER WIDIK STARC
CCR.CCR2,SMF,CCR ISYOH ELKOE
CDOGG.CDOGG4,PWM,CDOGG KAYCC
CEGRM.CEGRM7,CVG,CEGRM BCATT EGONE
CESAN.CESAN4,54T ARM AXH BYY CXO EFD GLS HOU HPY IWS LBX LVJ SGR T00 T41,CESAN CREPO PLEDO FRITZ SSERA
CHAKA.CHAKA4,SJU,CHAKA REKUA
CHINS.CHINS5,BFI PAE RNT SEA,CHINS RADDY HUMPP AUBRN
CHOWW.CHOWW4,LAS,CHOWW WOLPH
CHPPR.CHPPR1,ATL,CHPPR MRCHH
CHSLY.CHSLY6,CLT,CHSLY
CHSNE.CHSNE3,BNA,CHSNE
CLANG.CLANG7,EYE IND MQJ,CLANG
CLASH.CLASH5,DEN,CLASH EVRLY
CLIPR.CLIPR3,DCA,EYESS
CLMNT.CLMNT2,06FA BCT F45 PBI,CLMNT MAZEL
CLOWD.CLOWD1,PSP TRM UDD,CLOWD TRM
CLPRR.CLPRR3,CMH LCK OSU TZR,CLPRR
COATT.COATT5,IAD,COATT BRV BARIN
COBBZ.LEDDL1,JVY LOU SDF,COBBZ LEDDL
COKTL.COKTL4,LAS,COKTL ZLLDA
COLTR.COLTR4,ABQ,COLTR YYLEE
COMIX.COMIX2,SAN,COMIX FLSHH LNTRN XMANS KLOMN NADDO
CONDR.CONDR4,MEM,CONDR JFRED
COYOT.COYOT5,PHX,COYOT BRUSR MAHEM PXR
CPTAN.CPTAN3,06FA BCT FXE PBI PMP,CPTAN SNKLR
CQY.CQY3,DFW,CQY CQY CQY DIETZ HOWDY TACKE
CRAKN.CRAKN2,DTW,CRAKN CLDON MERCA
CRAKN.HTROD2,DTW,CRAKN BEERR HTROD
CRAZI.CRAZI4,BIL,CRAZI
CREKK.POWDA1,BZN,CREKK POWDA JOLIE RUFSS CEDEX
CRESO.CRESO5,LAS,CRESO BLD
CRVZA.CRVZA1,5C1 BAZ CVB PEZ RND SAT SKF SSF,CRVZA
CSI.CSI3,RND SAT SKF SSF,CSI LLITE
CSTAL.CSTAL3,07FA HST MIA TMB X51,CSTAL YACKO ZYGGY BNFSH
CURLY.CURLY3,ABQ AEG,CURLY ABQ
CUTTA.JESEY5,PIT,CUTTA JESEY
CUUDA.CUUDA3,FLL OPF,CUUDA LOKKR
CUURT.CUURT1,OPF,CUURT RAZLE
DADES.DADES2,CLW MCF PIE SPG TPA TPF VDF,DADES
DANDD.DANDD1,APA BJC BKF CFO DEN FNL GXY,DANDD DVV
DAWGG.DAWGG2,MEM,DAWGG FNCHR GQE JESTI BEERT LOONR DAWGG BOWEN FNCHR
DEEPO.DEEPO2,ACK,DEEPO VESSL
DEKAL.DEKAL9,FLL FXE HWO OPF PMP,DEKAL FLL
DELMA.DELMA4,ALN BLV CPS SUS,DELMA MMRSN
DELRO.DELRO5,IAD,DELRO LIRCH BINNS HYPER FDK
DINGO.DINGO6,TUS,DINGO MAVVA
DIRBY.DIRBY2,LAX,DIRBY PHUNN SHHOW ZAPPP BUFIE SLI TRNDO
DIRTT.DIRTT2,SUS,DIRTT SEDDN BERGY
DIXEE.DIXEE3,BLV CPS,DIXEE EVVNS
DODJE.CABBY2,DFW,DODJE CABBY ADEMS ELLER
DODJE.DODJE6,AFW DTO FTW FWS GKY GPM JWY LNC LUD NFW RBD,DODJE CABBY
DODJE.FORNY3,DFW,DODJE FORNY SOAAR
DODJE.REEKO3,50F AFW CPT DTO FTW FWS GKY GPM JWY LNC LUD NFW RBD WEA,DODJE REEKO SWVAY SCOPS
DOOBI.DOOBI3,IAH,DOOBI HHART BOPPR ODISS BOZZZ
DOOBI.SKNRD5,IAH,DOOBI SKNRD BFFET KNGWD
DPK.HUD4,POU SWF,DPK MAD BRISS PWL TRESA
DQO.PHLBO4,EWR,DQO STEFE SOMTO ARD DYLIN MERSR METRO MARRT PHLBO
DREEM.DREEM2,BED BVY LWM,DREEM WANLA ZELKA
DRONE.DRONE2,CPK FAF LFI NGU ORF PHF PVG,DRONE
DSERT.DSERT2,CHD DVT FFZ GEU GYR IWA PHX SDL,DSERT SHOCK BUSTD
DSNEE.DSNEE6,LGB SNA,DSNEE
DUMBR.HAREI1,ASE RIL,DUMBR HAREI
DUNNN.DUNNN6,APA BJC,DUNNN IMAGN BYEBI XBGIN
DUUUK.DUUUK4,IAH,DUUUK BIIGG
DVALL.DVALL4,FLL FXE HST MIA OPF PMP TMB,DVALL DHP
DXEEE.DXEEE3,AUS,DXEEE BAAAB SMILN
DYAMD.ALWYS3,SFO,DYAMD LAANE ALWYS HEFLY ARRTU ADDMM COGGR BERKS
DYAMD.DYAMD5,SFO,DYAMD LAANE ALWYS FLOWZ CEDES FRELY ARCHI
DYLLI.SHLAE1,HNL,DYLLI SHLAE
EAGUL.EAGUL6,PHX,EAGUL HOMRR
EATZZ.EATZZ1,BZN,EATZZ
EAU.EAU9,MSP,EAU TWINZ ZASKY
ELDRA.VAAIL1,EGE,ELDRA LVLND GORRE VAAIL CULCH
ELLAM.ELLAM5,ANC,ELLAM
